ts, punch_type_id, speed_mph, power_g

00:00:50.00,4,5.6,5.5

00:00:01.10,4,4.3,4.4

00:00:01.750,4,5.1,2.1

00:00:02.350,3,8.2,7.2

00:00:03.150,3,4.6,8.7

00:00:07.099,1,4.5,4.3

00:00:09.28,4,6.4,6

00:00:10.799,5,2.6,7.8

00:00:11.24,5,4.5,2.1

00:00:12.919,2,6.1,3.7

00:00:13.269,1,6.9,4.4

00:00:16.859,1,8.1,4.1

00:00:23.059,3,15.6,10.3

00:00:30.44,3,8.6,1.4

00:00:35.94,3,7.4,15.3

00:00:40.359,4,7.7,13.1

00:00:55.46,2,18.5,14.6

00:01:23.57,3,6.5,10.8

00:01:24.39,5,21.5,17.4

00:01:26.129,4,8.7,7.5

00:01:26.399,2,9.8,9.2

00:01:26.989,2,23.1,15.3

00:01:29.03,2,5.8,4.5

00:01:38.02,3,6.2,8.6

00:01:38.1,4,24.4,15.2

00:01:41.109,4,8.1,7.2

00:01:41.969,4,4.3,8.1

00:01:42.409,1,4.4,9.9

00:01:42.509,1,11.5,10.7

00:01:42.939,3,7.5,11.7

00:01:47.609,0,4.1,11.5

00:01:47.75,0,16.3,13.7

00:01:48.039,0,7.4,11.6

00:01:49.84,0,21.7,11.8

00:01:57.31,0,11.9,12.1

00:01:58.039,1,18.6,14.2

00:01:58.35,2,23.4,15.1

00:01:59.109,3,14.3,14.3

00:02:02.009,3,7.3,7

00:02:04.45,3,6.6,8.7

00:02:05.819,2,5.1,9.6

00:02:07.56,1,7.1,10.7

00:02:07.829,0,11.4,11.6

00:02:09.269,0,7.2,12.9

00:02:09.53,1,10.5,13.3

00:02:09.769,1,5.6,14.7

00:02:09.859,1,5.4,15.8

00:02:11.62,0,5.7,14.1

00:02:12.5,0,5.2,11.8

00:02:12.879,4,12.1,8.6

00:02:19.39,1,5.6,4.9

00:02:22.92,4,4.9,5.2

00:02:24.609,2,6.8,9.9

00:02:25.17,2,8.5,6.7

00:02:25.31,3,13.4,5.4

00:02:26.769,0,5.9,8.6

00:02:26.84,2,6,4.5

00:02:33.28,2,5.7,6.9

00:02:33.219,3,7.8,7.1

00:02:41.37,1,5.9,9

00:02:41.87,2,6,4.2

00:02:42.109,2,5.6,1.3

00:02:42.319,3,6.9,3.7

00:02:43.01,0,6.3,4.3

00:02:45.53,4,8.5,6.1

00:02:47.849,2,7.4,5.8

00:02:48.372,0,12.4,9.5

00:02:48.379,1,11.3,6.7

00:02:55.109,2,4.7,4.5

00:02:55.62,2,5.6,4.9

00:02:56.12,2,6.2,5.6

00:02:57.06,0,5.4,4.6

00:02:57.459,2,6.1,4.7

00:02:57.719,3,10.4,9.7

00:02:57.969,0,4.3,4
